DATE,CCSA
2010-02-06,4838000
2010-02-13,4815000
2010-02-20,4767000
2010-02-27,4755000
2010-03-06,4766000
2010-03-13,4750000
2010-03-20,4743000
2010-03-27,4668000
2010-04-03,4755000
2010-04-10,4746000
2010-04-17,4721000
2010-04-24,4690000
2010-05-01,4695000
2010-05-08,4707000
2010-05-15,4688000
2010-05-22,4731000
2010-05-29,4553000
2010-06-05,4624000
2010-06-12,4606000
2010-06-19,4619000
2010-06-26,4484000
2010-07-03,4620000
2010-07-10,4482000
2010-07-17,4545000
2010-07-24,4529000
2010-07-31,4467000
2010-08-07,4478000
2010-08-14,4432000
2010-08-21,4426000
2010-08-28,4509000
2010-09-04,4501000
2010-09-11,4487000
2010-09-18,4452000
2010-09-25,4431000
2010-10-02,4407000
2010-10-09,4403000
2010-10-16,4348000
2010-10-23,4331000
2010-10-30,4328000
2010-11-06,4270000
2010-11-13,4176000
2010-11-20,4218000
2010-11-27,4118000
2010-12-04,4137000
2010-12-11,4062000
2010-12-18,4113000
2010-12-25,4088000
2011-01-01,3898000
2011-01-08,3907000
2011-01-15,3974000
2011-01-22,3926000
2011-01-29,3887000
2011-02-05,3928000
2011-02-12,3839000
2011-02-19,3821000
2011-02-26,3809000
2011-03-05,3772000
2011-03-12,3772000
2011-03-19,3752000
2011-03-26,3766000
2011-04-02,3756000
2011-04-09,3751000
2011-04-16,3717000
2011-04-23,3796000
2011-04-30,3834000
2011-05-07,3787000
2011-05-14,3781000
2011-05-21,3799000
2011-05-28,3728000
2011-06-04,3750000
2011-06-11,3746000
2011-06-18,3752000
2011-06-25,3719000
2011-07-02,3733000
2011-07-09,3724000
2011-07-16,3734000
2011-07-23,3741000
2011-07-30,3676000
2011-08-06,3709000
2011-08-13,3717000
2011-08-20,3715000
2011-08-27,3723000
2011-09-03,3759000
2011-09-10,3758000
2011-09-17,3747000
2011-09-24,3707000
2011-10-01,3697000
2011-10-08,3731000
2011-10-15,3704000
2011-10-22,3699000
2011-10-29,3677000
2011-11-05,3603000
2011-11-12,3676000
2011-11-19,3739000
2011-11-26,3592000
2011-12-03,3595000
2011-12-10,3543000
2011-12-17,3588000
2011-12-24,3575000
2011-12-31,3566000
2012-01-07,3421000
2012-01-14,3511000
2012-01-21,3419000
2012-01-28,3454000
2012-02-04,3391000
2012-02-11,3362000
2012-02-18,3382000
2012-02-25,3392000
2012-03-03,3367000
2012-03-10,3353000
2012-03-17,3342000
2012-03-24,3336000
2012-03-31,3286000
2012-04-07,3325000
2012-04-14,3355000
2012-04-21,3316000
2012-04-28,3296000
2012-05-05,3326000
2012-05-12,3334000
2012-05-19,3301000
2012-05-26,3351000
2012-06-02,3327000
2012-06-09,3343000
2012-06-16,3323000
2012-06-23,3325000
2012-06-30,3304000
2012-07-07,3314000
2012-07-14,3307000
2012-07-21,3290000
2012-07-28,3312000
2012-08-04,3302000
2012-08-11,3296000
2012-08-18,3306000
2012-08-25,3321000
2012-09-01,3327000
2012-09-08,3312000
2012-09-15,3316000
2012-09-22,3308000
2012-09-29,3309000
2012-10-06,3295000
2012-10-13,3302000
2012-10-20,3285000
2012-10-27,3223000
