DATE,DGS10
2010-02-05,3.59
2010-02-08,3.62
2010-02-09,3.67
2010-02-10,3.72
2010-02-11,3.73
2010-02-12,3.69
2010-02-15,.
2010-02-16,3.66
2010-02-17,3.74
2010-02-18,3.79
2010-02-19,3.78
2010-02-22,3.80
2010-02-23,3.69
2010-02-24,3.70
2010-02-25,3.64
2010-02-26,3.61
2010-03-01,3.61
2010-03-02,3.62
2010-03-03,3.63
2010-03-04,3.61
2010-03-05,3.69
2010-03-08,3.72
2010-03-09,3.71
2010-03-10,3.73
2010-03-11,3.73
2010-03-12,3.71
2010-03-15,3.71
2010-03-16,3.66
2010-03-17,3.65
2010-03-18,3.68
2010-03-19,3.70
2010-03-22,3.67
2010-03-23,3.69
2010-03-24,3.84
2010-03-25,3.91
2010-03-26,3.86
2010-03-29,3.88
2010-03-30,3.88
2010-03-31,3.84
2010-04-01,3.89
2010-04-02,3.96
2010-04-05,4.01
2010-04-06,3.98
2010-04-07,3.89
2010-04-08,3.91
2010-04-09,3.90
2010-04-12,3.87
2010-04-13,3.84
2010-04-14,3.88
2010-04-15,3.86
2010-04-16,3.79
2010-04-19,3.83
2010-04-20,3.82
2010-04-21,3.77
2010-04-22,3.80
2010-04-23,3.84
2010-04-26,3.83
2010-04-27,3.71
2010-04-28,3.80
2010-04-29,3.76
2010-04-30,3.69
2010-05-03,3.72
2010-05-04,3.63
2010-05-05,3.58
2010-05-06,3.41
2010-05-07,3.45
2010-05-10,3.57
2010-05-11,3.56
2010-05-12,3.56
2010-05-13,3.55
2010-05-14,3.44
2010-05-17,3.47
2010-05-18,3.38
2010-05-19,3.36
2010-05-20,3.25
2010-05-21,3.20
2010-05-24,3.23
2010-05-25,3.18
2010-05-26,3.21
2010-05-27,3.34
2010-05-28,3.31
2010-05-31,.
2010-06-01,3.29
2010-06-02,3.35
2010-06-03,3.39
2010-06-04,3.20
2010-06-07,3.17
2010-06-08,3.18
2010-06-09,3.20
2010-06-10,3.33
2010-06-11,3.24
2010-06-14,3.28
2010-06-15,3.32
2010-06-16,3.27
2010-06-17,3.21
2010-06-18,3.24
2010-06-21,3.26
2010-06-22,3.18
2010-06-23,3.13
2010-06-24,3.14
2010-06-25,3.12
2010-06-28,3.05
2010-06-29,2.97
2010-06-30,2.97
2010-07-01,2.96
2010-07-02,3.00
2010-07-05,.
2010-07-06,2.95
2010-07-07,3.00
2010-07-08,3.04
2010-07-09,3.07
2010-07-12,3.08
2010-07-13,3.15
2010-07-14,3.07
2010-07-15,3.00
2010-07-16,2.96
2010-07-19,2.99
2010-07-20,2.98
2010-07-21,2.90
2010-07-22,2.96
2010-07-23,3.02
2010-07-26,3.03
2010-07-27,3.08
2010-07-28,3.03
2010-07-29,3.03
2010-07-30,2.94
2010-08-02,2.99
2010-08-03,2.94
2010-08-04,2.98
2010-08-05,2.94
2010-08-06,2.86
2010-08-09,2.86
2010-08-10,2.79
2010-08-11,2.72
2010-08-12,2.74
2010-08-13,2.68
2010-08-16,2.58
2010-08-17,2.64
2010-08-18,2.64
2010-08-19,2.58
2010-08-20,2.62
2010-08-23,2.60
2010-08-24,2.50
2010-08-25,2.54
2010-08-26,2.50
2010-08-27,2.66
2010-08-30,2.54
2010-08-31,2.47
2010-09-01,2.58
2010-09-02,2.63
2010-09-03,2.72
2010-09-06,.
2010-09-07,2.61
2010-09-08,2.66
2010-09-09,2.77
2010-09-10,2.81
2010-09-13,2.74
2010-09-14,2.68
2010-09-15,2.74
2010-09-16,2.77
2010-09-17,2.75
2010-09-20,2.72
2010-09-21,2.61
2010-09-22,2.56
2010-09-23,2.56
2010-09-24,2.62
2010-09-27,2.54
2010-09-28,2.48
2010-09-29,2.52
2010-09-30,2.53
2010-10-01,2.54
2010-10-04,2.50
2010-10-05,2.50
2010-10-06,2.41
2010-10-07,2.41
2010-10-08,2.41
2010-10-11,.
2010-10-12,2.44
2010-10-13,2.46
2010-10-14,2.52
2010-10-15,2.59
2010-10-18,2.52
2010-10-19,2.50
2010-10-20,2.51
2010-10-21,2.57
2010-10-22,2.59
2010-10-25,2.59
2010-10-26,2.67
2010-10-27,2.75
2010-10-28,2.69
2010-10-29,2.63
2010-11-01,2.66
2010-11-02,2.63
2010-11-03,2.67
2010-11-04,2.53
2010-11-05,2.58
2010-11-08,2.60
2010-11-09,2.72
2010-11-10,2.65
2010-11-11,.
2010-11-12,2.76
2010-11-15,2.92
2010-11-16,2.85
2010-11-17,2.89
2010-11-18,2.90
2010-11-19,2.88
2010-11-22,2.80
2010-11-23,2.77
2010-11-24,2.93
2010-11-25,.
2010-11-26,2.87
2010-11-29,2.84
2010-11-30,2.81
2010-12-01,2.97
2010-12-02,3.01
2010-12-03,3.03
2010-12-06,2.95
2010-12-07,3.15
2010-12-08,3.26
2010-12-09,3.23
2010-12-10,3.32
2010-12-13,3.29
2010-12-14,3.49
2010-12-15,3.53
2010-12-16,3.47
2010-12-17,3.33
2010-12-20,3.36
2010-12-21,3.35
2010-12-22,3.36
2010-12-23,3.41
2010-12-24,.
2010-12-27,3.36
2010-12-28,3.50
2010-12-29,3.35
2010-12-30,3.38
2010-12-31,3.30
2011-01-03,3.36
2011-01-04,3.36
2011-01-05,3.50
2011-01-06,3.44
2011-01-07,3.34
2011-01-10,3.32
2011-01-11,3.37
2011-01-12,3.40
2011-01-13,3.34
2011-01-14,3.35
2011-01-17,.
2011-01-18,3.39
2011-01-19,3.37
2011-01-20,3.47
2011-01-21,3.44
2011-01-24,3.43
2011-01-25,3.35
2011-01-26,3.45
2011-01-27,3.42
2011-01-28,3.36
2011-01-31,3.42
2011-02-01,3.48
2011-02-02,3.52
2011-02-03,3.58
2011-02-04,3.68
2011-02-07,3.68
2011-02-08,3.75
2011-02-09,3.65
2011-02-10,3.70
2011-02-11,3.64
2011-02-14,3.62
2011-02-15,3.61
2011-02-16,3.62
2011-02-17,3.58
2011-02-18,3.59
2011-02-21,.
2011-02-22,3.46
2011-02-23,3.49
2011-02-24,3.46
2011-02-25,3.42
2011-02-28,3.42
2011-03-01,3.41
2011-03-02,3.46
2011-03-03,3.58
2011-03-04,3.49
2011-03-07,3.51
2011-03-08,3.56
2011-03-09,3.48
2011-03-10,3.37
2011-03-11,3.40
2011-03-14,3.36
2011-03-15,3.33
2011-03-16,3.22
2011-03-17,3.25
2011-03-18,3.28
2011-03-21,3.34
2011-03-22,3.34
2011-03-23,3.36
2011-03-24,3.42
2011-03-25,3.46
2011-03-28,3.47
2011-03-29,3.50
2011-03-30,3.47
2011-03-31,3.47
2011-04-01,3.46
2011-04-04,3.45
2011-04-05,3.50
2011-04-06,3.56
2011-04-07,3.58
2011-04-08,3.59
2011-04-11,3.59
2011-04-12,3.52
2011-04-13,3.49
2011-04-14,3.51
2011-04-15,3.43
2011-04-18,3.40
2011-04-19,3.39
2011-04-20,3.43
2011-04-21,3.42
2011-04-22,.
2011-04-25,3.39
2011-04-26,3.34
2011-04-27,3.39
2011-04-28,3.34
2011-04-29,3.32
2011-05-02,3.31
2011-05-03,3.28
2011-05-04,3.25
2011-05-05,3.18
2011-05-06,3.19
2011-05-09,3.17
2011-05-10,3.23
2011-05-11,3.19
2011-05-12,3.22
2011-05-13,3.18
2011-05-16,3.15
2011-05-17,3.12
2011-05-18,3.18
2011-05-19,3.17
2011-05-20,3.15
2011-05-23,3.13
2011-05-24,3.12
2011-05-25,3.13
2011-05-26,3.07
2011-05-27,3.07
2011-05-30,.
2011-05-31,3.05
2011-06-01,2.96
2011-06-02,3.04
2011-06-03,2.99
2011-06-06,3.01
2011-06-07,3.01
2011-06-08,2.98
2011-06-09,3.01
2011-06-10,2.99
2011-06-13,3.00
2011-06-14,3.11
2011-06-15,2.98
2011-06-16,2.93
2011-06-17,2.94
2011-06-20,2.97
2011-06-21,2.99
2011-06-22,3.01
2011-06-23,2.93
2011-06-24,2.88
2011-06-27,2.95
2011-06-28,3.05
2011-06-29,3.14
2011-06-30,3.18
2011-07-01,3.22
2011-07-04,.
2011-07-05,3.16
2011-07-06,3.12
2011-07-07,3.17
2011-07-08,3.03
2011-07-11,2.94
2011-07-12,2.92
2011-07-13,2.92
2011-07-14,2.98
2011-07-15,2.94
2011-07-18,2.94
2011-07-19,2.91
2011-07-20,2.96
2011-07-21,3.03
2011-07-22,2.99
2011-07-25,3.03
2011-07-26,2.99
2011-07-27,3.01
2011-07-28,2.98
2011-07-29,2.82
