DATE,ICSA
2010-02-06,466000
2010-02-13,489000
2010-02-20,500000
2010-02-27,488000
2010-03-06,472000
2010-03-13,478000
2010-03-20,472000
2010-03-27,459000
2010-04-03,479000
2010-04-10,479000
2010-04-17,469000
2010-04-24,449000
2010-05-01,451000
2010-05-08,451000
2010-05-15,474000
2010-05-22,463000
2010-05-29,458000
2010-06-05,459000
2010-06-12,467000
2010-06-19,452000
2010-06-26,464000
2010-07-03,454000
2010-07-10,439000
2010-07-17,462000
2010-07-24,465000
2010-07-31,476000
2010-08-07,483000
2010-08-14,486000
2010-08-21,464000
2010-08-28,467000
2010-09-04,452000
2010-09-11,444000
2010-09-18,459000
2010-09-25,459000
2010-10-02,446000
2010-10-09,459000
2010-10-16,444000
2010-10-23,432000
2010-10-30,453000
2010-11-06,434000
2010-11-13,432000
2010-11-20,407000
2010-11-27,432000
2010-12-04,428000
2010-12-11,425000
2010-12-18,424000
2010-12-25,404000
2011-01-01,413000
2011-01-08,434000
2011-01-15,421000
2011-01-22,446000
2011-01-29,420000
2011-02-05,402000
2011-02-12,425000
2011-02-19,394000
2011-02-26,385000
2011-03-05,414000
2011-03-12,404000
2011-03-19,407000
2011-03-26,399000
2011-04-02,395000
2011-04-09,416000
2011-04-16,402000
2011-04-23,422000
2011-04-30,468000
2011-05-07,435000
2011-05-14,414000
2011-05-21,423000
2011-05-28,418000
2011-06-04,423000
2011-06-11,413000
2011-06-18,416000
2011-06-25,421000
2011-07-02,418000
2011-07-09,408000
2011-07-16,420000
2011-07-23,411000
2011-07-30,406000
2011-08-06,405000
2011-08-13,409000
2011-08-20,415000
2011-08-27,409000
2011-09-03,414000
2011-09-10,429000
2011-09-17,422000
2011-09-24,406000
2011-10-01,405000
2011-10-08,410000
2011-10-15,395000
2011-10-22,403000
2011-10-29,399000
2011-11-05,392000
2011-11-12,383000
2011-11-19,385000
2011-11-26,397000
2011-12-03,387000
2011-12-10,368000
2011-12-17,368000
2011-12-24,386000
2011-12-31,376000
2012-01-07,391000
2012-01-14,367000
2012-01-21,381000
2012-01-28,372000
2012-02-04,368000
2012-02-11,361000
2012-02-18,359000
2012-02-25,365000
2012-03-03,375000
2012-03-10,369000
2012-03-17,368000
2012-03-24,363000
2012-03-31,358000
2012-04-07,387000
2012-04-14,381000
2012-04-21,387000
2012-04-28,372000
2012-05-05,373000
2012-05-12,369000
2012-05-19,371000
2012-05-26,381000
2012-06-02,377000
2012-06-09,383000
2012-06-16,384000
2012-06-23,380000
2012-06-30,372000
2012-07-07,360000
2012-07-14,390000
2012-07-21,368000
2012-07-28,372000
2012-08-04,371000
2012-08-11,369000
2012-08-18,376000
2012-08-25,377000
2012-09-01,371000
2012-09-08,393000
2012-09-15,392000
2012-09-22,377000
2012-09-29,376000
2012-10-06,350000
2012-10-13,386000
2012-10-20,374000
2012-10-27,364000
