DATE,USEPUINDXD
2010-02-05,110.40000
2010-02-06,245.28000
2010-02-07,215.18000
2010-02-08,74.59000
2010-02-09,114.63000
2010-02-10,146.72000
2010-02-11,159.47000
2010-02-12,143.74000
2010-02-13,86.95000
2010-02-14,173.68000
2010-02-15,196.46000
2010-02-16,254.23000
2010-02-17,107.08000
2010-02-18,110.98000
2010-02-19,143.63000
2010-02-20,146.53000
2010-02-21,254.87000
2010-02-22,116.03000
2010-02-23,129.91000
2010-02-24,121.37000
2010-02-25,98.67000
2010-02-26,101.35000
2010-02-27,143.22000
2010-02-28,204.83000
2010-03-01,113.20000
2010-03-02,134.92000
2010-03-03,61.82000
2010-03-04,96.37000
2010-03-05,125.60000
2010-03-06,155.44000
2010-03-07,139.54000
2010-03-08,104.24000
2010-03-09,98.11000
2010-03-10,125.13000
2010-03-11,97.30000
2010-03-12,124.23000
2010-03-13,88.91000
2010-03-14,100.39000
2010-03-15,89.34000
2010-03-16,55.81000
2010-03-17,107.05000
2010-03-18,91.77000
2010-03-19,115.47000
2010-03-20,101.07000
2010-03-21,143.60000
2010-03-22,121.97000
2010-03-23,193.20000
2010-03-24,123.36000
2010-03-25,89.01000
2010-03-26,125.77000
2010-03-27,102.55000
2010-03-28,141.35000
2010-03-29,91.31000
2010-03-30,63.15000
2010-03-31,89.89000
2010-04-01,84.33000
2010-04-02,70.98000
2010-04-03,95.10000
2010-04-04,160.56000
2010-04-05,94.44000
2010-04-06,58.02000
2010-04-07,127.98000
2010-04-08,43.73000
2010-04-09,50.11000
2010-04-10,75.41000
2010-04-11,115.07000
2010-04-12,79.97000
2010-04-13,46.21000
2010-04-14,69.27000
2010-04-15,69.80000
2010-04-16,75.16000
2010-04-17,101.71000
2010-04-18,106.99000
2010-04-19,78.40000
2010-04-20,73.94000
2010-04-21,47.05000
2010-04-22,80.34000
2010-04-23,95.94000
2010-04-24,84.55000
2010-04-25,126.15000
2010-04-26,163.65000
2010-04-27,100.20000
2010-04-28,108.28000
2010-04-29,80.39000
2010-04-30,70.76000
2010-05-01,47.02000
2010-05-02,82.64000
2010-05-03,67.00000
2010-05-04,48.43000
2010-05-05,108.75000
2010-05-06,68.40000
2010-05-07,160.17000
2010-05-08,265.20000
2010-05-09,211.97000
2010-05-10,193.88000
2010-05-11,90.30000
2010-05-12,153.66000
2010-05-13,126.18000
2010-05-14,116.25000
2010-05-15,94.96000
2010-05-16,83.87000
2010-05-17,78.19000
2010-05-18,74.40000
2010-05-19,66.07000
2010-05-20,62.11000
2010-05-21,117.45000
2010-05-22,169.10000
2010-05-23,93.61000
2010-05-24,105.35000
2010-05-25,154.58000
2010-05-26,83.54000
2010-05-27,97.92000
2010-05-28,92.98000
2010-05-29,174.94000
2010-05-30,175.23000
2010-05-31,221.30000
2010-06-01,88.00000
2010-06-02,78.16000
2010-06-03,83.05000
2010-06-04,79.31000
2010-06-05,113.42000
2010-06-06,109.39000
2010-06-07,116.92000
2010-06-08,193.59000
2010-06-09,145.25000
2010-06-10,222.64000
2010-06-11,105.75000
2010-06-12,86.14000
2010-06-13,141.76000
2010-06-14,103.20000
2010-06-15,113.00000
2010-06-16,99.02000
2010-06-17,138.77000
2010-06-18,128.67000
2010-06-19,122.97000
2010-06-20,173.79000
2010-06-21,104.25000
2010-06-22,80.74000
2010-06-23,109.74000
2010-06-24,140.16000
2010-06-25,165.61000
2010-06-26,159.51000
2010-06-27,126.36000
2010-06-28,139.45000
2010-06-29,169.44000
2010-06-30,190.92000
2010-07-01,194.68000
2010-07-02,137.95000
2010-07-03,160.94000
2010-07-04,136.67000
2010-07-05,255.93000
2010-07-06,139.81000
2010-07-07,101.05000
2010-07-08,159.82000
2010-07-09,200.06000
2010-07-10,148.17000
2010-07-11,198.20000
2010-07-12,185.84000
2010-07-13,170.30000
2010-07-14,147.54000
2010-07-15,132.67000
2010-07-16,223.92000
2010-07-17,158.33000
2010-07-18,161.06000
2010-07-19,192.93000
2010-07-20,158.00000
2010-07-21,177.21000
2010-07-22,356.29000
2010-07-23,238.51000
2010-07-24,116.77000
2010-07-25,245.31000
2010-07-26,136.59000
2010-07-27,201.62000
2010-07-28,155.18000
2010-07-29,119.59000
2010-07-30,167.86000
2010-07-31,202.13000
2010-08-01,200.32000
2010-08-02,168.93000
2010-08-03,128.04000
2010-08-04,145.53000
2010-08-05,91.49000
2010-08-06,156.30000
2010-08-07,132.03000
2010-08-08,155.81000
2010-08-09,149.17000
2010-08-10,143.49000
2010-08-11,125.01000
2010-08-12,154.61000
2010-08-13,141.21000
2010-08-14,328.09000
2010-08-15,192.53000
2010-08-16,177.94000
2010-08-17,126.51000
2010-08-18,111.88000
2010-08-19,91.51000
2010-08-20,162.27000
2010-08-21,169.70000
2010-08-22,147.37000
2010-08-23,146.06000
2010-08-24,112.75000
2010-08-25,202.98000
2010-08-26,153.88000
2010-08-27,174.13000
2010-08-28,201.08000
2010-08-29,164.77000
2010-08-30,235.20000
2010-08-31,214.97000
2010-09-01,296.80000
2010-09-02,113.68000
2010-09-03,159.55000
2010-09-04,126.39000
2010-09-05,298.85000
2010-09-06,364.92000
2010-09-07,315.25000
2010-09-08,233.09000
2010-09-09,208.02000
2010-09-10,165.88000
2010-09-11,243.26000
2010-09-12,229.65000
2010-09-13,260.50000
2010-09-14,317.76000
2010-09-15,200.01000
2010-09-16,139.28000
2010-09-17,163.29000
2010-09-18,141.32000
2010-09-19,198.57000
2010-09-20,235.79000
2010-09-21,182.97000
2010-09-22,278.65000
2010-09-23,131.98000
2010-09-24,118.90000
2010-09-25,248.99000
2010-09-26,242.66000
2010-09-27,250.43000
2010-09-28,193.93000
2010-09-29,204.22000
2010-09-30,153.17000
2010-10-01,174.77000
2010-10-02,183.29000
2010-10-03,278.70000
2010-10-04,201.85000
2010-10-05,167.29000
2010-10-06,146.65000
2010-10-07,155.11000
2010-10-08,213.44000
2010-10-09,210.06000
2010-10-10,310.53000
2010-10-11,255.23000
2010-10-12,206.01000
2010-10-13,157.99000
2010-10-14,402.91000
2010-10-15,185.50000
2010-10-16,171.19000
2010-10-17,344.92000
2010-10-18,268.65000
2010-10-19,203.27000
2010-10-20,206.51000
2010-10-21,217.01000
2010-10-22,161.12000
2010-10-23,184.92000
2010-10-24,340.12000
2010-10-25,350.64000
2010-10-26,265.05000
2010-10-27,163.49000
2010-10-28,195.22000
2010-10-29,239.21000
2010-10-30,249.82000
2010-10-31,298.32000
2010-11-01,204.39000
2010-11-02,274.36000
2010-11-03,317.26000
2010-11-04,273.42000
2010-11-05,229.76000
2010-11-06,108.89000
2010-11-07,167.06000
2010-11-08,126.60000
2010-11-09,226.72000
2010-11-10,96.41000
2010-11-11,134.98000
2010-11-12,77.25000
2010-11-13,155.07000
2010-11-14,218.27000
2010-11-15,186.60000
2010-11-16,123.29000
2010-11-17,204.46000
2010-11-18,124.95000
2010-11-19,167.29000
2010-11-20,124.30000
2010-11-21,154.75000
2010-11-22,150.98000
2010-11-23,69.59000
2010-11-24,115.72000
2010-11-25,167.78000
2010-11-26,236.90000
2010-11-27,97.50000
2010-11-28,181.88000
2010-11-29,216.80000
2010-11-30,163.66000
2010-12-01,138.88000
2010-12-02,166.12000
2010-12-03,188.06000
2010-12-04,115.13000
2010-12-05,223.77000
2010-12-06,156.81000
2010-12-07,156.64000
2010-12-08,164.32000
2010-12-09,143.55000
2010-12-10,219.55000
2010-12-11,118.37000
2010-12-12,227.72000
2010-12-13,193.55000
2010-12-14,141.65000
2010-12-15,153.08000
2010-12-16,149.21000
2010-12-17,252.45000
2010-12-18,185.69000
2010-12-19,142.59000
2010-12-20,147.51000
2010-12-21,132.73000
2010-12-22,129.36000
2010-12-23,79.79000
2010-12-24,37.25000
2010-12-25,151.38000
2010-12-26,245.83000
2010-12-27,167.35000
2010-12-28,134.15000
2010-12-29,112.22000
2010-12-30,126.10000
2010-12-31,180.76000
2011-01-01,231.47000
2011-01-02,350.22000
2011-01-03,179.94000
2011-01-04,99.93000
2011-01-05,117.62000
2011-01-06,210.12000
2011-01-07,78.36000
2011-01-08,112.44000
2011-01-09,208.07000
2011-01-10,142.87000
2011-01-11,99.18000
2011-01-12,143.29000
2011-01-13,86.38000
2011-01-14,121.36000
2011-01-15,145.47000
2011-01-16,124.49000
2011-01-17,152.80000
2011-01-18,130.09000
2011-01-19,169.89000
2011-01-20,112.69000
2011-01-21,109.35000
2011-01-22,72.18000
2011-01-23,158.18000
2011-01-24,160.06000
2011-01-25,99.94000
2011-01-26,110.03000
2011-01-27,113.47000
2011-01-28,122.57000
2011-01-29,104.16000
2011-01-30,151.47000
2011-01-31,114.06000
2011-02-01,135.88000
2011-02-02,81.51000
2011-02-03,62.98000
2011-02-04,97.16000
2011-02-05,175.43000
2011-02-06,143.70000
2011-02-07,139.94000
2011-02-08,108.00000
2011-02-09,80.97000
2011-02-10,59.31000
2011-02-11,81.01000
2011-02-12,159.46000
2011-02-13,153.25000
2011-02-14,185.50000
2011-02-15,156.02000
2011-02-16,106.72000
2011-02-17,83.15000
2011-02-18,97.46000
2011-02-19,96.62000
2011-02-20,116.84000
2011-02-21,119.66000
2011-02-22,149.43000
2011-02-23,104.96000
2011-02-24,117.41000
2011-02-25,128.07000
2011-02-26,115.80000
2011-02-27,173.01000
2011-02-28,84.82000
2011-03-01,140.96000
2011-03-02,202.30000
2011-03-03,106.10000
2011-03-04,78.77000
2011-03-05,73.87000
2011-03-06,151.80000
2011-03-07,141.02000
2011-03-08,143.22000
2011-03-09,110.30000
2011-03-10,126.24000
2011-03-11,170.51000
2011-03-12,107.65000
2011-03-13,199.64000
2011-03-14,193.87000
2011-03-15,178.36000
2011-03-16,133.15000
2011-03-17,145.73000
2011-03-18,140.54000
2011-03-19,147.62000
2011-03-20,221.16000
2011-03-21,134.17000
2011-03-22,100.29000
2011-03-23,106.04000
2011-03-24,109.82000
2011-03-25,110.94000
2011-03-26,161.46000
2011-03-27,190.04000
2011-03-28,182.28000
2011-03-29,124.84000
2011-03-30,150.03000
2011-03-31,81.91000
2011-04-01,148.31000
2011-04-02,176.64000
2011-04-03,148.13000
2011-04-04,103.52000
2011-04-05,76.70000
2011-04-06,88.40000
2011-04-07,163.18000
2011-04-08,107.93000
2011-04-09,113.46000
2011-04-10,124.99000
2011-04-11,119.37000
2011-04-12,120.58000
2011-04-13,84.78000
2011-04-14,89.71000
2011-04-15,107.61000
2011-04-16,122.29000
2011-04-17,226.41000
2011-04-18,149.96000
2011-04-19,129.47000
2011-04-20,105.92000
2011-04-21,77.90000
2011-04-22,168.72000
2011-04-23,99.88000
2011-04-24,117.05000
2011-04-25,118.44000
2011-04-26,93.23000
2011-04-27,83.58000
2011-04-28,66.98000
2011-04-29,71.85000
2011-04-30,75.96000
2011-05-01,109.47000
2011-05-02,145.49000
2011-05-03,120.64000
2011-05-04,100.29000
2011-05-05,88.21000
2011-05-06,65.14000
2011-05-07,88.70000
2011-05-08,153.50000
2011-05-09,104.29000
2011-05-10,108.15000
2011-05-11,71.52000
2011-05-12,62.30000
2011-05-13,94.82000
2011-05-14,80.07000
2011-05-15,104.64000
2011-05-16,123.56000
2011-05-17,105.09000
2011-05-18,75.09000
2011-05-19,95.62000
2011-05-20,56.74000
2011-05-21,65.68000
2011-05-22,145.83000
2011-05-23,121.54000
2011-05-24,89.39000
2011-05-25,115.30000
2011-05-26,79.23000
2011-05-27,82.40000
2011-05-28,70.42000
2011-05-29,55.20000
2011-05-30,40.03000
2011-05-31,71.40000
2011-06-01,97.43000
2011-06-02,78.19000
2011-06-03,120.72000
2011-06-04,164.42000
2011-06-05,220.17000
2011-06-06,107.05000
2011-06-07,93.34000
2011-06-08,93.84000
2011-06-09,86.60000
2011-06-10,182.31000
