DATE,WLEMUINDXD
2010-02-05,37.80000
2010-02-06,9.91000
2010-02-07,8.31000
2010-02-08,58.74000
2010-02-09,45.14000
2010-02-10,24.07000
2010-02-11,41.87000
2010-02-12,25.16000
2010-02-13,19.85000
2010-02-14,47.17000
2010-02-15,60.68000
2010-02-16,15.89000
2010-02-17,11.96000
2010-02-18,30.14000
2010-02-19,31.42000
2010-02-20,50.62000
2010-02-21,8.06000
2010-02-22,39.31000
2010-02-23,37.07000
2010-02-24,11.38000
2010-02-25,10.36000
2010-02-26,6.19000
2010-02-27,37.60000
2010-02-28,31.17000
2010-03-01,28.76000
2010-03-02,22.61000
2010-03-03,11.59000
2010-03-04,9.92000
2010-03-05,6.11000
2010-03-06,37.96000
2010-03-07,7.96000
2010-03-08,9.44000
2010-03-09,37.88000
2010-03-10,46.93000
2010-03-11,39.30000
2010-03-12,48.32000
2010-03-13,38.90000
2010-03-14,7.99000
2010-03-15,9.77000
2010-03-16,7.71000
2010-03-17,5.98000
2010-03-18,39.34000
2010-03-19,37.12000
2010-03-20,68.79000
2010-03-21,32.78000
2010-03-22,130.09000
2010-03-23,39.02000
2010-03-24,18.33000
2010-03-25,24.86000
2010-03-26,12.70000
2010-03-27,79.77000
2010-03-28,23.69000
2010-03-29,29.96000
2010-03-30,7.89000
2010-03-31,62.10000
2010-04-01,82.38000
2010-04-02,12.85000
2010-04-03,145.65000
2010-04-04,16.86000
2010-04-05,30.99000
2010-04-06,15.23000
2010-04-07,6.00000
2010-04-08,4.99000
2010-04-09,25.06000
2010-04-10,29.70000
2010-04-11,40.82000
2010-04-12,29.99000
2010-04-13,37.91000
2010-04-14,18.18000
2010-04-15,28.93000
2010-04-16,74.00000
2010-04-17,66.76000
2010-04-18,33.04000
2010-04-19,49.01000
2010-04-20,57.51000
2010-04-21,5.88000
2010-04-22,4.90000
2010-04-23,11.99000
2010-04-24,48.26000
2010-04-25,24.23000
2010-04-26,28.02000
2010-04-27,28.44000
2010-04-28,11.15000
2010-04-29,9.59000
2010-04-30,11.98000
2010-05-01,18.99000
2010-05-02,16.07000
2010-05-03,58.63000
2010-05-04,52.35000
2010-05-05,51.39000
2010-05-06,101.92000
2010-05-07,136.22000
2010-05-08,147.09000
2010-05-09,40.33000
2010-05-10,29.37000
2010-05-11,22.22000
2010-05-12,45.45000
2010-05-13,4.80000
2010-05-14,5.98000
2010-05-15,57.53000
2010-05-16,55.04000
2010-05-17,27.99000
2010-05-18,20.93000
2010-05-19,52.04000
2010-05-20,81.54000
2010-05-21,53.37000
2010-05-22,28.95000
2010-05-23,39.64000
2010-05-24,115.98000
2010-05-25,49.84000
2010-05-26,69.26000
2010-05-27,34.61000
2010-05-28,67.13000
2010-05-29,69.89000
2010-05-30,25.56000
2010-05-31,43.57000
2010-06-01,25.67000
2010-06-02,24.14000
2010-06-03,37.23000
2010-06-04,37.86000
2010-06-05,20.54000
2010-06-06,25.34000
2010-06-07,39.61000
2010-06-08,109.47000
2010-06-09,73.80000
2010-06-10,26.33000
2010-06-11,25.83000
2010-06-12,30.84000
2010-06-13,50.75000
2010-06-14,70.24000
2010-06-15,156.14000
2010-06-16,96.73000
2010-06-17,54.38000
2010-06-18,6.62000
2010-06-19,10.41000
2010-06-20,24.44000
2010-06-21,30.41000
2010-06-22,39.25000
2010-06-23,43.84000
2010-06-24,40.88000
2010-06-25,25.58000
2010-06-26,51.07000
2010-06-27,42.53000
2010-06-28,64.61000
2010-06-29,58.34000
2010-06-30,63.45000
2010-07-01,75.32000
2010-07-02,28.40000
2010-07-03,122.31000
2010-07-04,55.20000
2010-07-05,28.59000
2010-07-06,106.25000
2010-07-07,20.94000
2010-07-08,51.03000
2010-07-09,7.40000
2010-07-10,129.67000
2010-07-11,63.90000
2010-07-12,63.64000
2010-07-13,25.31000
2010-07-14,48.42000
2010-07-15,44.23000
2010-07-16,27.99000
2010-07-17,33.70000
2010-07-18,44.98000
2010-07-19,63.31000
2010-07-20,76.19000
2010-07-21,99.69000
2010-07-22,33.41000
2010-07-23,14.39000
2010-07-24,76.64000
2010-07-25,77.28000
2010-07-26,203.20000
2010-07-27,117.63000
2010-07-28,44.56000
2010-07-29,11.02000
2010-07-30,7.00000
2010-07-31,97.47000
2010-08-01,155.18000
2010-08-02,86.54000
2010-08-03,58.82000
2010-08-04,67.03000
2010-08-05,148.69000
2010-08-06,27.36000
2010-08-07,108.32000
2010-08-08,26.11000
2010-08-09,32.63000
2010-08-10,40.07000
2010-08-11,127.25000
2010-08-12,73.29000
2010-08-13,229.84000
2010-08-14,100.68000
2010-08-15,79.81000
2010-08-16,105.11000
2010-08-17,17.48000
2010-08-18,13.99000
2010-08-19,39.11000
2010-08-20,14.44000
2010-08-21,206.46000
2010-08-22,58.87000
2010-08-23,34.86000
2010-08-24,35.88000
2010-08-25,47.22000
2010-08-26,126.97000
2010-08-27,70.33000
2010-08-28,91.36000
2010-08-29,114.26000
2010-08-30,34.95000
2010-08-31,206.04000
2010-09-01,155.84000
2010-09-02,16.58000
2010-09-03,13.51000
2010-09-04,87.83000
2010-09-05,43.11000
2010-09-06,77.26000
2010-09-07,98.53000
2010-09-08,13.45000
2010-09-09,16.06000
2010-09-10,33.50000
2010-09-11,65.74000
2010-09-12,33.04000
2010-09-13,86.84000
2010-09-14,62.37000
2010-09-15,31.25000
2010-09-16,32.26000
2010-09-17,20.10000
2010-09-18,66.59000
2010-09-19,67.27000
2010-09-20,123.81000
2010-09-21,89.56000
2010-09-22,13.18000
2010-09-23,5.33000
2010-09-24,19.92000
2010-09-25,94.74000
2010-09-26,33.09000
2010-09-27,10.96000
2010-09-28,66.77000
2010-09-29,37.85000
2010-09-30,30.93000
2010-10-01,13.50000
