Date,Weekly_Sales
2010-02-07,16836.121996615864
2010-02-14,16352.05603179975
2010-02-21,16216.658978837777
2010-02-28,14899.54968824125
2010-03-07,15921.015726902173
2010-03-14,15546.850545023692
2010-03-21,15286.773577981672
2010-03-28,14975.894485917894
2010-04-04,17098.62029840625
2010-04-11,16050.589779735694
2010-04-18,15347.713002717393
2010-04-25,15252.114749403347
2010-05-02,14967.50914726023
2010-05-09,16542.716070941304
2010-05-16,15513.374469541406
2010-05-23,15499.865358983148
2010-05-30,16428.44945304438
2010-06-06,17246.922034364234
2010-06-13,16440.88921278793
2010-06-20,16281.04144615384
2010-06-27,15978.414909153247
2010-07-04,16769.79242372306
2010-07-11,16500.01011712025
2010-07-18,15940.67548431574
2010-07-25,15357.115672254518
2010-08-01,15300.09030510796
2010-08-08,16576.684704264077
2010-08-15,16044.34337361877
2010-08-22,16222.320896242672
2010-08-29,15841.870407177401
2010-09-05,16129.27464456596
2010-09-12,15537.758883214183
2010-09-19,14708.339539091781
2010-09-26,14105.905324010926
2010-10-03,14391.780534923313
2010-10-10,15362.048443460482
2010-10-17,14726.78274744032
2010-10-24,14678.483135650982
2010-10-31,14871.361169849912
2010-11-07,15625.249791808874
2010-11-14,15753.00574795079
2010-11-21,15475.166042524026
2010-11-28,22403.33670524169
2010-12-05,16924.05150220416
2010-12-12,18882.893619402923
2010-12-19,20892.463619466038
2010-12-26,27378.69269282817
2011-01-02,13738.53856608905
2011-01-09,14599.24497269621
2011-01-16,13891.283483606541
2011-01-23,13932.367385195337
2011-01-30,13566.23946214459
2011-02-06,15773.44877648667
2011-02-13,16111.706191286517
2011-02-20,16541.9912122241
2011-02-27,15049.747557980925
2011-03-06,15882.55704530085
2011-03-13,15056.450539811061
2011-03-20,15216.115961342837
2011-03-27,14573.827049626123
2011-04-03,14726.869261267379
2011-04-10,15634.571311754666
2011-04-17,15229.708140873698
2011-04-24,16472.65382741113
2011-05-01,14745.946063685633
2011-05-08,15757.215295897848
2011-05-15,15317.204186046509
2011-05-22,15002.24727861038
2011-05-29,15390.233448861662
2011-06-05,16691.305331964417
2011-06-12,16302.918830369363
2011-06-19,16111.2264074703
2011-06-26,15649.418342428358
2011-07-03,16232.862333674535
2011-07-10,16328.646803138861
2011-07-17,15566.323502051964
2011-07-24,15526.20418038413
2011-07-31,14965.150489893782
2011-08-07,16393.126312734737
2011-08-14,15774.068625511629
2011-08-21,15888.02831696575
2011-08-28,16068.095035581195
2011-09-04,15387.122166836201
2011-09-11,15809.06948275864
2011-09-18,14865.566897488114
2011-09-25,14446.431088941461
2011-10-02,14298.824401897653
2011-10-09,15960.678958755963
2011-10-16,15062.736014935479
2011-10-23,15521.325691056885
2011-10-30,15470.924780701771
2011-11-06,16471.07119160467
2011-11-13,16348.811045531218
2011-11-20,15683.546288416073
2011-11-27,22043.563475670286
2011-12-04,16496.51185370738
2011-12-11,18458.85305647846
2011-12-18,19942.1493328908
2011-12-25,25437.14612157246
2012-01-01,15332.154858474805
2012-01-08,15121.231735620593
2012-01-15,14168.266513823317
2012-01-22,14221.357404528568
2012-01-29,13494.232611788637
2012-02-05,15480.553607658703
2012-02-12,16664.247890703096
2012-02-19,16693.401050881253
2012-02-26,15458.124474839538
2012-03-04,15672.58694648831
2012-03-11,15965.182955615337
2012-03-18,15823.719615384638
2012-03-25,15195.472627490719
2012-04-01,15289.720371496112
2012-04-08,17935.741156553802
2012-04-15,15663.171451125285
2012-04-22,15150.430178151266
2012-04-29,14799.187166553818
2012-05-06,15947.275103214915
2012-05-13,15784.015805583647
2012-05-20,15856.396620386064
2012-05-27,16284.414590275392
2012-06-03,16405.589439347623
2012-06-10,16774.04452027029
2012-06-17,16377.57466170501
2012-06-24,16098.711573792609
2012-07-01,15887.18449369251
2012-07-08,17309.362337048267
2012-07-15,15616.44041327912
2012-07-22,15602.826371951249
2012-07-29,15034.829515854077
2012-08-05,16004.684718570938
2012-08-12,16030.926966520134
2012-08-19,16025.195279187821
2012-08-26,16029.501216216227
2012-09-02,15921.552812288986
2012-09-09,16294.692956844217
2012-09-16,14905.978648466431
2012-09-23,14989.708384589423
2012-09-30,14765.327278865647
2012-10-07,15983.413746639793
2012-10-14,15427.59673913045
2012-10-21,15295.73239661021
2012-10-28,15391.725680973306
