Date,CCSA_first_diff,ICSA_first_diff
2010-02-07,-23000.0,23000.0
2010-02-14,-23000.0,23000.0
2010-02-21,-48000.0,11000.0
2010-02-28,-12000.0,-12000.0
2010-03-07,11000.0,-16000.0
2010-03-14,-16000.0,6000.0
2010-03-21,-7000.0,-6000.0
2010-03-28,-75000.0,-13000.0
2010-04-04,87000.0,20000.0
2010-04-11,-9000.0,0.0
2010-04-18,-25000.0,-10000.0
2010-04-25,-31000.0,-20000.0
2010-05-02,5000.0,2000.0
2010-05-09,12000.0,0.0
2010-05-16,-19000.0,23000.0
2010-05-23,43000.0,-11000.0
2010-05-30,-178000.0,-5000.0
2010-06-06,71000.0,1000.0
2010-06-13,-18000.0,8000.0
2010-06-20,13000.0,-15000.0
2010-06-27,-135000.0,12000.0
2010-07-04,136000.0,-10000.0
2010-07-11,-138000.0,-15000.0
2010-07-18,63000.0,23000.0
2010-07-25,-16000.0,3000.0
2010-08-01,-62000.0,11000.0
2010-08-08,11000.0,7000.0
2010-08-15,-46000.0,3000.0
2010-08-22,-6000.0,-22000.0
2010-08-29,83000.0,3000.0
2010-09-05,-8000.0,-15000.0
2010-09-12,-14000.0,-8000.0
2010-09-19,-35000.0,15000.0
2010-09-26,-21000.0,0.0
2010-10-03,-24000.0,-13000.0
2010-10-10,-4000.0,13000.0
2010-10-17,-55000.0,-15000.0
2010-10-24,-17000.0,-12000.0
2010-10-31,-3000.0,21000.0
2010-11-07,-58000.0,-19000.0
2010-11-14,-94000.0,-2000.0
2010-11-21,42000.0,-25000.0
2010-11-28,-100000.0,25000.0
2010-12-05,19000.0,-4000.0
2010-12-12,-75000.0,-3000.0
2010-12-19,51000.0,-1000.0
2010-12-26,-25000.0,-20000.0
2011-01-02,-190000.0,9000.0
2011-01-09,9000.0,21000.0
2011-01-16,67000.0,-13000.0
2011-01-23,-48000.0,25000.0
2011-01-30,-39000.0,-26000.0
2011-02-06,41000.0,-18000.0
2011-02-13,-89000.0,23000.0
2011-02-20,-18000.0,-31000.0
2011-02-27,-12000.0,-9000.0
2011-03-06,-37000.0,29000.0
2011-03-13,0.0,-10000.0
2011-03-20,-20000.0,3000.0
2011-03-27,14000.0,-8000.0
2011-04-03,-10000.0,-4000.0
2011-04-10,-5000.0,21000.0
2011-04-17,-34000.0,-14000.0
2011-04-24,79000.0,20000.0
2011-05-01,38000.0,46000.0
2011-05-08,-47000.0,-33000.0
2011-05-15,-6000.0,-21000.0
2011-05-22,18000.0,9000.0
2011-05-29,-71000.0,-5000.0
2011-06-05,22000.0,5000.0
2011-06-12,-4000.0,-10000.0
2011-06-19,6000.0,3000.0
2011-06-26,-33000.0,5000.0
2011-07-03,14000.0,-3000.0
2011-07-10,-9000.0,-10000.0
2011-07-17,10000.0,12000.0
2011-07-24,7000.0,-9000.0
2011-07-31,-65000.0,-5000.0
2011-08-07,33000.0,-1000.0
2011-08-14,8000.0,4000.0
2011-08-21,-2000.0,6000.0
2011-08-28,8000.0,-6000.0
2011-09-04,36000.0,5000.0
2011-09-11,-1000.0,15000.0
2011-09-18,-11000.0,-7000.0
2011-09-25,-40000.0,-16000.0
2011-10-02,-10000.0,-1000.0
2011-10-09,34000.0,5000.0
2011-10-16,-27000.0,-15000.0
2011-10-23,-5000.0,8000.0
2011-10-30,-22000.0,-4000.0
2011-11-06,-74000.0,-7000.0
2011-11-13,73000.0,-9000.0
2011-11-20,63000.0,2000.0
2011-11-27,-147000.0,12000.0
2011-12-04,3000.0,-10000.0
2011-12-11,-52000.0,-19000.0
2011-12-18,45000.0,0.0
2011-12-25,-13000.0,18000.0
2012-01-01,-9000.0,-10000.0
2012-01-08,-145000.0,15000.0
2012-01-15,90000.0,-24000.0
2012-01-22,-92000.0,14000.0
2012-01-29,35000.0,-9000.0
2012-02-05,-63000.0,-4000.0
2012-02-12,-29000.0,-7000.0
2012-02-19,20000.0,-2000.0
2012-02-26,10000.0,6000.0
2012-03-04,-25000.0,10000.0
2012-03-11,-14000.0,-6000.0
2012-03-18,-11000.0,-1000.0
2012-03-25,-6000.0,-5000.0
2012-04-01,-50000.0,-5000.0
2012-04-08,39000.0,29000.0
2012-04-15,30000.0,-6000.0
2012-04-22,-39000.0,6000.0
2012-04-29,-20000.0,-15000.0
2012-05-06,30000.0,1000.0
2012-05-13,8000.0,-4000.0
2012-05-20,-33000.0,2000.0
2012-05-27,50000.0,10000.0
2012-06-03,-24000.0,-4000.0
2012-06-10,16000.0,6000.0
2012-06-17,-20000.0,1000.0
2012-06-24,2000.0,-4000.0
2012-07-01,-21000.0,-8000.0
2012-07-08,10000.0,-12000.0
2012-07-15,-7000.0,30000.0
2012-07-22,-17000.0,-22000.0
2012-07-29,22000.0,4000.0
2012-08-05,-10000.0,-1000.0
2012-08-12,-6000.0,-2000.0
2012-08-19,10000.0,7000.0
2012-08-26,15000.0,1000.0
2012-09-02,6000.0,-6000.0
2012-09-09,-15000.0,22000.0
2012-09-16,4000.0,-1000.0
2012-09-23,-8000.0,-15000.0
2012-09-30,1000.0,-1000.0
2012-10-07,-14000.0,-26000.0
2012-10-14,7000.0,36000.0
2012-10-21,-17000.0,-12000.0
2012-10-28,-62000.0,-10000.0
